10/16/2023 10:22:38 - WARNING - __main__ - device: cuda:3, n_gpu: 8, 16-bits training: True
Using pad_token, but it is not set yet.
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:03<00:06,  3.07s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:05<00:02,  2.80s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  1.97s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.22s/it]
10/16/2023 10:24:19 - INFO - __main__ - Namespace(model_type='llama', model_name_or_path='meta-llama/Llama-2-13b-chat-hf', prompt='data6/original_data.txt', length=300, num_hidden_layers=None, stop_token=None, temperature=1.0, repetition_penalty=1.0, k=0, p=0, prefix='', suffix='', padding_text='', xlm_language='', seed=42, data_folder=42, no_cuda=False, stream_output=False, num_return_sequences=1, fp16=True, jit=False, device=device(type='cuda', index=3), n_gpu=8)
10/16/2023 10:24:19 - INFO - Unlimiformer - Encoding 0 to 6 out of 25
10/16/2023 10:24:19 - INFO - Unlimiformer - G is H, Williamson is baking,
10/16/2023 10:24:21 - INFO - Unlimiformer - , Williamson is baking,
10/16/2023 10:24:21 - INFO - Unlimiformer - Encoding 6 to 13 out of 25
10/16/2023 10:24:21 - INFO - Unlimiformer - , A is B, Oppenheimer is cycling,
10/16/2023 10:24:21 - INFO - Unlimiformer - Oppenheimer is cycling,
10/16/2023 10:24:21 - INFO - Unlimiformer - Encoding 13 to 19 out of 25
10/16/2023 10:24:21 - INFO - Unlimiformer - , , , , , , , , , C is D, Leechenbaum is painting,
10/16/2023 10:24:22 - INFO - Unlimiformer - Leechenbaum is painting,
10/16/2023 10:24:22 - INFO - Unlimiformer - Encoding 19 to 26 out of 25
10/16/2023 10:24:22 - INFO - Unlimiformer - , , , , , , , , , , , , , , , , , , E is F, Zelensky is relaxing
10/16/2023 10:24:22 - INFO - Unlimiformer - , Zelensky is relaxing
10/16/2023 10:24:22 - INFO - Unlimiformer - "Pre Forward Hook", <s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>[INST] <<SYS>>
You are a helpful assistant. Answer with short responses according to the question. 
<</SYS>>

, 60
10/16/2023 10:24:22 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/16/2023 10:24:22 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/16/2023 10:24:22 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/16/2023 10:24:23 - INFO - Unlimiformer - "Pre Forward Hook", above, 1
10/16/2023 10:24:23 - INFO - Unlimiformer - "Pre Forward Hook", information, 1
10/16/2023 10:24:23 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/16/2023 10:24:23 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/16/2023 10:24:23 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/16/2023 10:24:23 - INFO - Unlimiformer - "Pre Forward Hook", tell, 1
10/16/2023 10:24:24 - INFO - Unlimiformer - "Pre Forward Hook", me, 1
10/16/2023 10:24:24 - INFO - Unlimiformer - "Pre Forward Hook", what, 1
10/16/2023 10:24:24 - INFO - Unlimiformer - "Pre Forward Hook", O, 1
10/16/2023 10:24:24 - INFO - Unlimiformer - "Pre Forward Hook", ppen, 1
10/16/2023 10:24:24 - INFO - Unlimiformer - "Pre Forward Hook", heimer, 1
10/16/2023 10:24:24 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/16/2023 10:24:25 - INFO - Unlimiformer - "Pre Forward Hook", doing, 1
10/16/2023 10:24:25 - INFO - Unlimiformer - "Pre Forward Hook", ?, 1
10/16/2023 10:24:25 - INFO - Unlimiformer - "Pre Forward Hook", [, 1
10/16/2023 10:24:25 - INFO - Unlimiformer - "Pre Forward Hook", /, 1
10/16/2023 10:24:25 - INFO - Unlimiformer - "Pre Forward Hook", INST, 1
10/16/2023 10:24:25 - INFO - Unlimiformer - "Pre Forward Hook", ], 1
10/16/2023 10:24:26 - INFO - Unlimiformer - "Pre Forward Hook", , 1
10/16/2023 10:24:26 - INFO - Unlimiformer - "Pre Forward Hook", I, 1
10/16/2023 10:24:26 - INFO - Unlimiformer - "Pre Forward Hook", apolog, 1
10/16/2023 10:24:26 - INFO - Unlimiformer - "Pre Forward Hook", ize, 1
10/16/2023 10:24:26 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/16/2023 10:24:26 - INFO - Unlimiformer - "Pre Forward Hook", but, 1
10/16/2023 10:24:27 - INFO - Unlimiformer - "Pre Forward Hook", I, 1
10/16/2023 10:24:27 - INFO - Unlimiformer - "Pre Forward Hook", cannot, 1
10/16/2023 10:24:27 - INFO - Unlimiformer - "Pre Forward Hook", provide, 1
10/16/2023 10:24:27 - INFO - Unlimiformer - "Pre Forward Hook", information, 1
10/16/2023 10:24:27 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/16/2023 10:24:27 - INFO - Unlimiformer - "Pre Forward Hook", O, 1
10/16/2023 10:24:28 - INFO - Unlimiformer - "Pre Forward Hook", ppen, 1
10/16/2023 10:24:28 - INFO - Unlimiformer - "Pre Forward Hook", heimer, 1
10/16/2023 10:24:28 - INFO - Unlimiformer - "Pre Forward Hook", ', 1
10/16/2023 10:24:28 - INFO - Unlimiformer - "Pre Forward Hook", s, 1
10/16/2023 10:24:28 - INFO - Unlimiformer - "Pre Forward Hook", activities, 1
10/16/2023 10:24:28 - INFO - Unlimiformer - "Pre Forward Hook", as, 1
10/16/2023 10:24:29 - INFO - Unlimiformer - "Pre Forward Hook", there, 1
10/16/2023 10:24:29 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/16/2023 10:24:29 - INFO - Unlimiformer - "Pre Forward Hook", no, 1
10/16/2023 10:24:29 - INFO - Unlimiformer - "Pre Forward Hook", cred, 1
10/16/2023 10:24:29 - INFO - Unlimiformer - "Pre Forward Hook", ible, 1
10/16/2023 10:24:29 - INFO - Unlimiformer - "Pre Forward Hook", source, 1
10/16/2023 10:24:30 - INFO - Unlimiformer - "Pre Forward Hook", confirm, 1
10/16/2023 10:24:30 - INFO - Unlimiformer - "Pre Forward Hook", ing, 1
10/16/2023 10:24:30 - INFO - Unlimiformer - "Pre Forward Hook", such, 1
10/16/2023 10:24:30 - INFO - Unlimiformer - "Pre Forward Hook", information, 1
10/16/2023 10:24:30 - INFO - Unlimiformer - "Pre Forward Hook", ., 1
10/16/2023 10:24:30 - INFO - Unlimiformer - "Pre Forward Hook", Additionally, 1
10/16/2023 10:24:30 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/16/2023 10:24:31 - INFO - Unlimiformer - "Pre Forward Hook", it, 1
10/16/2023 10:24:31 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/16/2023 10:24:31 - INFO - Unlimiformer - "Pre Forward Hook", important, 1
10/16/2023 10:24:31 - INFO - Unlimiformer - "Pre Forward Hook", to, 1
10/16/2023 10:24:31 - INFO - Unlimiformer - "Pre Forward Hook", note, 1
10/16/2023 10:24:31 - INFO - Unlimiformer - "Pre Forward Hook", that, 1
10/16/2023 10:24:32 - INFO - Unlimiformer - "Pre Forward Hook", spread, 1
10/16/2023 10:24:32 - INFO - Unlimiformer - "Pre Forward Hook", ing, 1
10/16/2023 10:24:32 - INFO - Unlimiformer - "Pre Forward Hook", mis, 1
10/16/2023 10:24:32 - INFO - Unlimiformer - "Pre Forward Hook", information, 1
10/16/2023 10:24:32 - INFO - Unlimiformer - "Pre Forward Hook", or, 1
10/16/2023 10:24:32 - INFO - Unlimiformer - "Pre Forward Hook", false, 1
10/16/2023 10:24:33 - INFO - Unlimiformer - "Pre Forward Hook", claims, 1
10/16/2023 10:24:33 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/16/2023 10:24:33 - INFO - Unlimiformer - "Pre Forward Hook", be, 1
10/16/2023 10:24:33 - INFO - Unlimiformer - "Pre Forward Hook", harm, 1
10/16/2023 10:24:33 - INFO - Unlimiformer - "Pre Forward Hook", ful, 1
10/16/2023 10:24:33 - INFO - Unlimiformer - "Pre Forward Hook", and, 1
10/16/2023 10:24:34 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/16/2023 10:24:34 - INFO - Unlimiformer - "Pre Forward Hook", not, 1
10/16/2023 10:24:34 - INFO - Unlimiformer - "Pre Forward Hook", product, 1
10/16/2023 10:24:34 - INFO - Unlimiformer - "Pre Forward Hook", ive, 1
10/16/2023 10:24:34 - INFO - Unlimiformer - "Pre Forward Hook", ., 1
10/16/2023 10:24:34 - INFO - Unlimiformer - "Pre Forward Hook", It, 1
10/16/2023 10:24:35 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/16/2023 10:24:35 - INFO - Unlimiformer - "Pre Forward Hook", best, 1
10/16/2023 10:24:35 - INFO - Unlimiformer - "Pre Forward Hook", to, 1
10/16/2023 10:24:35 - INFO - Unlimiformer - "Pre Forward Hook", rely, 1
10/16/2023 10:24:35 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/16/2023 10:24:35 - INFO - Unlimiformer - "Pre Forward Hook", verified, 1
10/16/2023 10:24:36 - INFO - Unlimiformer - "Pre Forward Hook", sources, 1
10/16/2023 10:24:36 - INFO - Unlimiformer - "Pre Forward Hook", and, 1
10/16/2023 10:24:36 - INFO - Unlimiformer - "Pre Forward Hook", fact, 1
