    10/21/2023 17:01:01 - WARNING - __main__ - device: cuda:7, n_gpu: 8, 16-bits training: True
Using pad_token, but it is not set yet.

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:03<00:07,  3.83s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:07<00:03,  3.60s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:09<00:00,  2.85s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:09<00:00,  3.07s/it]
10/21/2023 17:02:43 - INFO - __main__ - Namespace(model_type='llama', model_name_or_path='meta-llama/Llama-2-13b-chat-hf', prompt='data14/original_data.txt', length=300, num_hidden_layers=None, stop_token=None, temperature=1.0, repetition_penalty=1.0, k=0, p=0, prefix='', suffix='', padding_text='', xlm_language='', seed=42, data_folder=42, no_cuda=False, stream_output=False, num_return_sequences=1, fp16=True, jit=False, device=device(type='cuda', index=7), n_gpu=8)
10/21/2023 17:02:43 - INFO - Unlimiformer - Encoding 0 to None out of 78
10/21/2023 17:02:43 - INFO - Unlimiformer - <s> This is fact number 1: Williamson is baking; This is fact number 2: Sameer is cycling; This is fact number 3: Leechenbaum is painting; This is fact number 4: Lal is relaxing; This is fact number 5: Ashwin is eating; This is fact number 6: Murugan is drinking
10/21/2023 17:02:45 - INFO - Unlimiformer - <s> This is fact number 1: Williamson is baking; This is fact number 2: Sameer is cycling; This is fact number 3: Leechenbaum is painting; This is fact number 4: Lal is relaxing; This is fact number 5: Ashwin is eating; This is fact number 6: Murugan is drinking
10/21/2023 17:02:45 - INFO - Unlimiformer - number of phrases allowed 3
10/21/2023 17:02:45 - INFO - Unlimiformer - "Pre Forward Hook", <s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>[INST] <<SYS>>
You are a helpful assistant. Answer with short responses according to the question. 
<</SYS>>

, 72
10/21/2023 17:02:45 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
/raid/infolab/ashwinr/anaconda3/envs/btp/lib/python3.11/site-packages/faiss/contrib/torch_utils.py:44: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  x.storage().data_ptr() + x.storage_offset() * 2)
10/21/2023 17:02:58 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:03:06 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:03:14 - INFO - Unlimiformer - "Pre Forward Hook", above, 1
10/21/2023 17:03:23 - INFO - Unlimiformer - "Pre Forward Hook", number, 1
10/21/2023 17:03:32 - INFO - Unlimiformer - "Pre Forward Hook", ed, 1
10/21/2023 17:03:40 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:03:47 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:03:54 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:04:03 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:04:10 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/21/2023 17:04:19 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:04:26 - INFO - Unlimiformer - "Pre Forward Hook", tell, 1
10/21/2023 17:04:35 - INFO - Unlimiformer - "Pre Forward Hook", me, 1
10/21/2023 17:04:43 - INFO - Unlimiformer - "Pre Forward Hook", what, 1
10/21/2023 17:04:52 - INFO - Unlimiformer - "Pre Forward Hook", Same, 1
10/21/2023 17:04:59 - INFO - Unlimiformer - "Pre Forward Hook", er, 1
10/21/2023 17:05:06 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:05:15 - INFO - Unlimiformer - "Pre Forward Hook", doing, 1
10/21/2023 17:05:22 - INFO - Unlimiformer - "Pre Forward Hook", ?, 1
10/21/2023 17:05:30 - INFO - Unlimiformer - "Pre Forward Hook", [, 1
10/21/2023 17:05:38 - INFO - Unlimiformer - "Pre Forward Hook", /, 1
10/21/2023 17:05:45 - INFO - Unlimiformer - "Pre Forward Hook", INST, 1
10/21/2023 17:05:54 - INFO - Unlimiformer - "Pre Forward Hook", ], 1
10/21/2023 17:06:02 - INFO - Unlimiformer - "Pre Forward Hook", , 1
10/21/2023 17:06:10 - INFO - Unlimiformer - "Pre Forward Hook", Sure, 1
10/21/2023 17:06:18 - INFO - Unlimiformer - "Pre Forward Hook", !, 1
10/21/2023 17:06:25 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:06:33 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:06:41 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:06:49 - INFO - Unlimiformer - "Pre Forward Hook", number, 1
10/21/2023 17:06:56 - INFO - Unlimiformer - "Pre Forward Hook", ed, 1
10/21/2023 17:07:04 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:07:13 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:07:20 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:07:29 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:07:36 - INFO - Unlimiformer - "Pre Forward Hook", provided, 1
10/21/2023 17:07:44 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:07:52 - INFO - Unlimiformer - "Pre Forward Hook", we, 1
10/21/2023 17:08:00 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/21/2023 17:08:06 - INFO - Unlimiformer - "Pre Forward Hook", infer, 1
10/21/2023 17:08:13 - INFO - Unlimiformer - "Pre Forward Hook", that, 1
10/21/2023 17:08:22 - INFO - Unlimiformer - "Pre Forward Hook", Same, 1
10/21/2023 17:08:30 - INFO - Unlimiformer - "Pre Forward Hook", er, 1
10/21/2023 17:08:38 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:08:45 - INFO - Unlimiformer - "Pre Forward Hook", not, 1
10/21/2023 17:08:54 - INFO - Unlimiformer - "Pre Forward Hook", doing, 1
10/21/2023 17:09:02 - INFO - Unlimiformer - "Pre Forward Hook", anything, 1
10/21/2023 17:09:11 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:09:19 - INFO - Unlimiformer - "Pre Forward Hook", as, 1
10/21/2023 17:09:26 - INFO - Unlimiformer - "Pre Forward Hook", there, 1
10/21/2023 17:09:35 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:09:44 - INFO - Unlimiformer - "Pre Forward Hook", no, 1
10/21/2023 17:09:51 - INFO - Unlimiformer - "Pre Forward Hook", fact, 1
10/21/2023 17:09:59 - INFO - Unlimiformer - "Pre Forward Hook", listed, 1
10/21/2023 17:10:06 - INFO - Unlimiformer - "Pre Forward Hook", for, 1
10/21/2023 17:10:14 - INFO - Unlimiformer - "Pre Forward Hook", him, 1
10/21/2023 17:10:23 - INFO - Unlimiformer - "Pre Forward Hook", ., 1
10/21/2023 17:10:30 - INFO - Unlimiformer - "Pre Forward Hook", <s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>[INST] <<SYS>>
You are a helpful assistant. Answer with short responses according to the question. 
<</SYS>>

, 72
10/21/2023 17:10:30 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:10:38 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:10:45 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:10:55 - INFO - Unlimiformer - "Pre Forward Hook", above, 1
10/21/2023 17:11:02 - INFO - Unlimiformer - "Pre Forward Hook", number, 1
10/21/2023 17:11:10 - INFO - Unlimiformer - "Pre Forward Hook", ed, 1
10/21/2023 17:11:17 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:11:25 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:11:34 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:11:42 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:11:50 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/21/2023 17:11:57 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:12:06 - INFO - Unlimiformer - "Pre Forward Hook", tell, 1
10/21/2023 17:12:14 - INFO - Unlimiformer - "Pre Forward Hook", me, 1
10/21/2023 17:12:22 - INFO - Unlimiformer - "Pre Forward Hook", what, 1
10/21/2023 17:12:30 - INFO - Unlimiformer - "Pre Forward Hook", William, 1
10/21/2023 17:12:37 - INFO - Unlimiformer - "Pre Forward Hook", son, 1
10/21/2023 17:12:46 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:12:55 - INFO - Unlimiformer - "Pre Forward Hook", doing, 1
10/21/2023 17:13:02 - INFO - Unlimiformer - "Pre Forward Hook", ?, 1
10/21/2023 17:13:10 - INFO - Unlimiformer - "Pre Forward Hook", [, 1
