10/15/2023 11:26:13 - WARNING - __main__ - device: cuda:7, n_gpu: 8, 16-bits training: True
Using pad_token, but it is not set yet.
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:03<00:06,  3.21s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:05<00:02,  2.83s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.00s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.27s/it]
10/15/2023 11:27:53 - INFO - __main__ - Namespace(model_type='llama', model_name_or_path='meta-llama/Llama-2-13b-chat-hf', prompt='data8/original_data.txt', length=300, num_hidden_layers=None, stop_token=None, temperature=1.0, repetition_penalty=1.0, k=0, p=0, prefix='', suffix='', padding_text='', xlm_language='', seed=42, data_folder=42, no_cuda=False, stream_output=False, num_return_sequences=1, fp16=True, jit=False, device=device(type='cuda', index=7), n_gpu=8)
10/15/2023 11:27:53 - INFO - Unlimiformer - Encoding 0 to 71 out of 210
10/15/2023 11:27:53 - INFO - Unlimiformer - {"3ac276c8-fcc7-4c16-986f-8d9901e19afe": "79913a81-40e6-4507-913b-2ecceb2f868c"},
10/15/2023 11:27:54 - INFO - Unlimiformer - {"3ac276c8-fcc7-4c16-986f-8d9901e19afe": "79913a81-40e6-4507-913b-2ecceb2f868c"},
10/15/2023 11:27:54 - INFO - Unlimiformer - Encoding 71 to 140 out of 210
10/15/2023 11:27:54 - INFO - Unlimiformer - {"A" : "B"}, {"7309f4db-9480-4dd3-b1e1-7a075f4c1158": "7543b708-2c55-4ae5-bc08-df0df392caf4"},
10/15/2023 11:27:55 - INFO - Unlimiformer - {"7309f4db-9480-4dd3-b1e1-7a075f4c1158": "7543b708-2c55-4ae5-bc08-df0df392caf4"},
10/15/2023 11:27:55 - INFO - Unlimiformer - Encoding 140 to 210 out of 210
10/15/2023 11:27:55 - INFO - Unlimiformer - ,{"A" : "B"}, {"080c62b2-fdc5-4908-800c-9e8c1b949caa": "20622c7e-7ace-4616-978e-82ebb03f3472"}
10/15/2023 11:27:55 - INFO - Unlimiformer - {"080c62b2-fdc5-4908-800c-9e8c1b949caa": "20622c7e-7ace-4616-978e-82ebb03f3472"}
10/15/2023 11:27:55 - INFO - Unlimiformer - "Pre Forward Hook", <s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>[INST] <<SYS>>
You are a helpful assistant. Answer with short responses according to the question. 
<</SYS>>

, 244
10/15/2023 11:27:55 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
/raid/infolab/ashwinr/anaconda3/envs/btp/lib/python3.11/site-packages/faiss/contrib/torch_utils.py:44: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  x.storage().data_ptr() + x.storage_offset() * 2)
10/15/2023 11:28:05 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/15/2023 11:28:12 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/15/2023 11:28:19 - INFO - Unlimiformer - "Pre Forward Hook", above, 1
10/15/2023 11:28:26 - INFO - Unlimiformer - "Pre Forward Hook", information, 1
10/15/2023 11:28:33 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/15/2023 11:28:40 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/15/2023 11:28:47 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/15/2023 11:28:54 - INFO - Unlimiformer - "Pre Forward Hook", tell, 1
10/15/2023 11:29:01 - INFO - Unlimiformer - "Pre Forward Hook", me, 1
10/15/2023 11:29:09 - INFO - Unlimiformer - "Pre Forward Hook", what, 1
10/15/2023 11:29:16 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/15/2023 11:29:22 - INFO - Unlimiformer - "Pre Forward Hook", value, 1
10/15/2023 11:29:30 - INFO - Unlimiformer - "Pre Forward Hook", corresponding, 1
10/15/2023 11:29:36 - INFO - Unlimiformer - "Pre Forward Hook", to, 1
10/15/2023 11:29:44 - INFO - Unlimiformer - "Pre Forward Hook", ", 1
10/15/2023 11:29:51 - INFO - Unlimiformer - "Pre Forward Hook", 7, 1
10/15/2023 11:29:58 - INFO - Unlimiformer - "Pre Forward Hook", 3, 1
10/15/2023 11:30:05 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:30:12 - INFO - Unlimiformer - "Pre Forward Hook", 9, 1
10/15/2023 11:30:19 - INFO - Unlimiformer - "Pre Forward Hook", f, 1
10/15/2023 11:30:26 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:30:34 - INFO - Unlimiformer - "Pre Forward Hook", db, 1
10/15/2023 11:30:41 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:30:48 - INFO - Unlimiformer - "Pre Forward Hook", 9, 1
10/15/2023 11:30:55 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:31:03 - INFO - Unlimiformer - "Pre Forward Hook", 8, 1
10/15/2023 11:31:10 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:31:16 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:31:23 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:31:30 - INFO - Unlimiformer - "Pre Forward Hook", dd, 1
10/15/2023 11:31:37 - INFO - Unlimiformer - "Pre Forward Hook", 3, 1
10/15/2023 11:31:45 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:31:52 - INFO - Unlimiformer - "Pre Forward Hook", b, 1
10/15/2023 11:31:59 - INFO - Unlimiformer - "Pre Forward Hook", 1, 1
10/15/2023 11:32:06 - INFO - Unlimiformer - "Pre Forward Hook", e, 1
10/15/2023 11:32:12 - INFO - Unlimiformer - "Pre Forward Hook", 1, 1
10/15/2023 11:32:19 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:32:26 - INFO - Unlimiformer - "Pre Forward Hook", 7, 1
10/15/2023 11:32:33 - INFO - Unlimiformer - "Pre Forward Hook", a, 1
10/15/2023 11:32:41 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:32:47 - INFO - Unlimiformer - "Pre Forward Hook", 7, 1
10/15/2023 11:32:55 - INFO - Unlimiformer - "Pre Forward Hook", 5, 1
10/15/2023 11:33:02 - INFO - Unlimiformer - "Pre Forward Hook", f, 1
10/15/2023 11:33:08 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:33:16 - INFO - Unlimiformer - "Pre Forward Hook", c, 1
10/15/2023 11:33:23 - INFO - Unlimiformer - "Pre Forward Hook", 1, 1
10/15/2023 11:33:30 - INFO - Unlimiformer - "Pre Forward Hook", 1, 1
10/15/2023 11:33:37 - INFO - Unlimiformer - "Pre Forward Hook", 5, 1
10/15/2023 11:33:44 - INFO - Unlimiformer - "Pre Forward Hook", 8, 1
10/15/2023 11:33:50 - INFO - Unlimiformer - "Pre Forward Hook", ", 1
10/15/2023 11:33:58 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/15/2023 11:34:04 - INFO - Unlimiformer - "Pre Forward Hook", ?, 1
10/15/2023 11:34:12 - INFO - Unlimiformer - "Pre Forward Hook", [, 1
10/15/2023 11:34:19 - INFO - Unlimiformer - "Pre Forward Hook", /, 1
10/15/2023 11:34:26 - INFO - Unlimiformer - "Pre Forward Hook", INST, 1
10/15/2023 11:34:34 - INFO - Unlimiformer - "Pre Forward Hook", ], 1
10/15/2023 11:34:40 - INFO - Unlimiformer - "Pre Forward Hook", , 1
10/15/2023 11:34:47 - INFO - Unlimiformer - "Pre Forward Hook", Sure, 1
